Name,Type of Business,Borough,Service,Website,Image
Hi Collar,Restaurant,Manhattan,Dine in + take out,hicollar.square.site,https://cdn.vox-cdn.com/thumbor/T96ZPIoWYm09tX_lfhy-KkTeX1Y=/0x0:1777x1333/1200x800/filters:focal(0x0:1777x1333)/cdn.vox-cdn.com/uploads/chorus_image/image/44275322/15760624167_0beeed0309_o.0.0.jpg
Madame Vo,Restaurant,Manhattan,Dine in + take out,madamevobbq.squarespace.com,https://images.squarespace-cdn.com/content/v1/5ab433da266c07926cb1f932/1563396257295-G2ZSVCIR7M907VJGGAQ8/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0iyqMbMesKd95J-X4EagrgU9L3Sa3U8cogeb0tjXbfawd0urKshkc5MgdBeJmALQKw/Madame+Vo+by+Ben+Hon+%40stuffbeneats_20.jpg
Her Name is Han,Restaurant,Manhattan,Dine in + take out,hernameishan.com,https://cdn.vox-cdn.com/thumbor/bqKOWZ5XBemFD0lSkVNLUdI12JA=/1400x0/filters:no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/10573011/bulgogi.jpg
